ï»¿OBJECTID,Event Number,Complaint Number,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Shift,Sector,Zone,Latitude,Longitude,RPA,Call_Received
68,PD202400541324,,87,SAFETY HAZARD,P,PROGRESS,4,ASSISTED CITIZEN,100,ORCHARD DR,527C,B,H,527,,,9705,2024-07-06 21:14:40
444,PD202400154297,,44,DISORDERLY PERSON,PJ,,10,NO RESPONSE,,REDBIRD CT,710B,B,M,715,36.277,-86.707,1729,2024-02-24 18:32:14
745,PD202400006398,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,10,NO RESPONSE,900,N DUPONT AVE,57A33,B,M,715,36.266,-86.688,1713,2024-01-03 15:41:46
845,PD202400062369,,93,TRAFFIC VIOLATION,,,5,GONE ON ARRIVAL,,JONES AVE,215C,C,E,223,36.207,-86.757,1835,2024-01-25 02:00:11
36868,PD202400531697,,88,INVESTIGATE 911 HANG-UP CALL,PW,,5,GONE ON ARRIVAL,2900,IRONWOOD DR,511A,A,H,517,,,9419,2024-07-03 10:25:14
53105,PD202400148832,,96,BUSINESS CHECK,,,12,LOCATION/BUILDING SECURE,200,CROSSINGS PL,3522,B,S,333,,,8865,2024-02-22 21:13:49
53106,PD202400145275,,96,BUSINESS CHECK,,,12,LOCATION/BUILDING SECURE,200,CROSSINGS PL,3522,B,S,333,,,8865,2024-02-21 20:54:26
53107,PD202400096321,,15,COMMUNITY POLICING ACTIVITY,P,PROGRESS,15,COMMUNITY POLICING,200,CROSSINGS PL,4914,B,S,333,,,8865,2024-02-05 21:09:34
53108,PD202400139349,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,PM,,4,ASSISTED CITIZEN,200,CROSSINGS PL,333C,C,S,333,,,8865,2024-02-20 01:52:48
53110,PD202400292951,,96,BUSINESS CHECK,,,12,LOCATION/BUILDING SECURE,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-04-11 21:31:57
53111,PD202400243166,,45,VEHICLE ACCIDENT - PROPERTY DAMAGE,P,PROGRESS,11,DISREGARD / SIGNAL 9,200,CROSSINGS PL,,C,S,333,,,8865,2024-03-25 23:33:55
53112,PD202400166750,,96,BUSINESS CHECK,,,12,LOCATION/BUILDING SECURE,200,CROSSINGS PL,5912,B,S,333,,,8865,2024-02-28 20:04:29
53113,PD202400289535,,96,BUSINESS CHECK,,,12,LOCATION/BUILDING SECURE,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-04-10 21:25:47
53114,PD202400191974,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,4,ASSISTED CITIZEN,200,CROSSINGS PL,SAPR,C,S,333,,,8865,2024-03-08 00:58:11
53115,PD202400312748,,96,BUSINESS CHECK,,,12,LOCATION/BUILDING SECURE,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-04-18 18:56:15
53116,PD202400177874,,15,COMMUNITY POLICING ACTIVITY,P,PROGRESS,15,COMMUNITY POLICING,200,CROSSINGS PL,4914,B,S,333,,,8865,2024-03-03 16:47:54
53117,PD202400352694,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,200,CROSSINGS PL,,B,S,333,,,8865,2024-05-02 19:12:56
53118,PD202400174863,,50,THEFT,R,REPORT,4,ASSISTED CITIZEN,200,CROSSINGS PL,333B,A,S,333,,,8865,2024-03-02 11:18:25
53119,PD202400406489,,50,THEFT,R,REPORT,10,NO RESPONSE,200,CROSSINGS PL,57A51,A,S,333,,,8865,2024-05-21 12:59:21
53121,PD202400385642,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,11,DISREGARD / SIGNAL 9,200,CROSSINGS PL,,A,S,333,,,8865,2024-05-14 12:36:48
53122,PD202400372667,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-05-09 18:42:19
53123,PD202400369498,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-05-08 19:39:37
53124,PD202400404295,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-05-20 20:16:36
53125,PD202400383407,,96,BUSINESS CHECK,,,15,COMMUNITY POLICING,200,CROSSINGS PL,7313,B,S,333,,,8865,2024-05-13 19:17:40
53127,PD202400390585,,43,WANT OFFICER FOR INVESTIGATION / ASSISTA,P,PROGRESS,11,DISREGARD / SIGNAL 9,200,CROSSINGS PL,330B,C,S,333,,,8865,2024-05-15 23:31:12
53128,PD202400467563,,88,INVESTIGATE 911 HANG-UP CALL,P,PROGRESS,11,DISREGARD / SIGNAL 9,200,CROSSINGS PL,,B,S,333,,,8865,2024-06-11 16:03:04
